cluster,RSPv,RSPd,VISpm,VISa,VISam,SSp-bfd,VISpor,VISli,TEa,VISpl,VISl,AUDv,VISal,AUDpo,AUDp,AUDd,FRP,ORBl,ORBvl,ORBm,PL,ILA,SSp-m,ACAd,ACAv
cc1,4.9136566240415496e-05,1.863302277644259e-05,6.306294341894643e-06,5.0551602364126334e-06,6.160999019236136e-06,1.8815954846759374e-05,2.92768027826669e-06,2.340722218885216e-06,9.646616545285358e-06,1.9960100284826766e-06,2.085176184829656e-06,7.48683940151e-06,2.6611814248290322e-06,2.6536461313417393e-06,2.948374181107157e-06,2.105408368855167e-06,1.8269045410775906e-05,2.8927445710553632e-05,1.7914807948198635e-05,1.4226298521941884e-05,3.7562600629852594e-05,1.3438919015206413e-05,0.000799084007662693,0.00045421435185158887,0.0005325195174618228
cc2,0.000810587530370295,0.000706298902004803,0.000544763813692038,0.0007333209999875708,0.0008601038364226636,0.0004317370474951389,0.00040926208052828144,0.00042386431371557926,0.00033338174808246,0.0002921813011741391,0.00032633640468148297,0.0004365286089005462,0.0004756454254436234,0.000569735929399631,0.00056992598347947,0.0006115145806868606,3.1401307807534346e-07,6.969948212272066e-07,8.880653488875374e-07,8.764364360505449e-07,1.1441477852325019e-06,1.0892080892242256e-06,2.8157913586503587e-06,3.466429804006229e-05,2.746206687476223e-05
cc3,3.02597806381694e-06,1.8886078903823793e-06,4.145406413256557e-07,5.921385225397759e-07,5.310772517906903e-07,3.7311701302622013e-07,1.6112551264595015e-05,9.831281146589522e-06,1.1387754574937452e-05,1.0668886829773444e-05,6.685497848934438e-06,8.03907919158174e-06,1.8580514564248759e-06,4.588037375087601e-06,4.2008368523958735e-06,1.39369767398748e-06,0.0013142255616570865,0.0011547514696995823,0.0011779635684219505,0.0010386502066629187,0.0007018622499904117,0.0007981067497717891,1.012443862085022e-05,9.106243817909379e-05,9.169747633701923e-05
