,names,scores,logfoldchanges,pvals,pvals_adj,log_pval,comparison
704,Pla2g5,0.99136615,0.38398033,0.32150683783580714,0.4442712647208728,0.492809786028158,cc-out_vs_cc_in
705,Onecut3,0.9870162,0.68051356,0.3236346988603007,0.44665608749539637,0.48994492118930777,cc-out_vs_cc_in
706,Scube2,0.9607254,0.2749442,0.3366902572195103,0.4640978607579106,0.47276945057663955,cc-out_vs_cc_in
707,Lemd1,0.9426031,1.2033057,0.3458839490395128,0.4756153806360645,0.46106959122446334,cc-out_vs_cc_in
708,Mybpc1,0.94256765,0.8381276,0.3459020950080469,0.4756153806360645,0.46104680760784444,cc-out_vs_cc_in
709,Mcub,0.93179387,0.5317763,0.3514430753825093,0.48263690574779705,0.45414500933353474,cc-out_vs_cc_in
710,Kcnj5,0.92849743,0.71082306,0.35314959728908857,0.4843817315903425,0.45204128465626947,cc-out_vs_cc_in
711,2610028E06Rik,0.92300874,0.8915353,0.3560026553820246,0.48693028084589374,0.4485467626634738,cc-out_vs_cc_in
712,Rxfp2,0.9225987,1.4383779,0.3562163621902098,0.48693028084589374,0.44828613583932136,cc-out_vs_cc_in
713,Qrfpr,0.9223951,1.1126516,0.3563225187468151,0.48693028084589374,0.4481567303898054,cc-out_vs_cc_in
714,Tll1,0.9156088,0.93324274,0.35987209276172283,0.48945407431968735,0.4438518305616318,cc-out_vs_cc_in
715,Tacr3,0.91549546,0.8924442,0.3599315740046666,0.48945407431968735,0.4437800543903265,cc-out_vs_cc_in
716,Cwh43,0.907218,0.6127427,0.3642915293410366,0.4947773705353199,0.43855092703756693,cc-out_vs_cc_in
717,Pax7,0.9029484,1.1021777,0.3665533023403227,0.4969640311215553,0.43586286350827264,cc-out_vs_cc_in
718,Adamts19,0.9024909,0.7687213,0.3667961345811659,0.4969640311215553,0.43557524971661676,cc-out_vs_cc_in
719,Crhr2,0.90101886,0.6116953,0.36757829917136775,0.4974171624596706,0.43465013610073105,cc-out_vs_cc_in
720,Gabrq,0.88905007,0.9116421,0.37397616427464475,0.5054082519363781,0.4271560770879568,cc-out_vs_cc_in
721,Serpinb1b,0.8882741,0.38881442,0.3743933315424295,0.5054082519363781,0.4266718952440741,cc-out_vs_cc_in
722,Greb1,0.8872405,0.33651376,0.37494943007146175,0.5055446805939248,0.4260273021973109,cc-out_vs_cc_in
723,Klhl14,0.88145936,0.6320254,0.3780692556567311,0.5091332642843979,0.4224286377432794,cc-out_vs_cc_in
724,Hoxb6,0.875467,1.1805378,0.3813198679280083,0.5128890717530475,0.4187105660698632,cc-out_vs_cc_in
725,AW551984,0.8744981,0.81769365,0.3818470321007196,0.512977089073639,0.41811058059441764,cc-out_vs_cc_in
726,Pmaip1,0.8716699,0.5023872,0.3833884778273021,0.5138053062317643,0.4163609433390611,cc-out_vs_cc_in
727,Sln,0.8691535,1.121378,0.3847631898202182,0.5150263902292318,0.4148064834706139,cc-out_vs_cc_in
728,Trdn,0.86281127,1.1917142,0.38824123429706137,0.519056571966348,0.4108983409809671,cc-out_vs_cc_in
729,Arhgap36,0.86070967,0.419745,0.38939798382334057,0.5199773558025618,0.40960630144635324,cc-out_vs_cc_in
730,Lgr6,0.8583673,0.22836058,0.3906896642298189,0.5205339086979452,0.40816807796725796,cc-out_vs_cc_in
731,Ccdc192,0.8557162,0.8284762,0.3921547712664808,0.5205339086979452,0.40654249665006903,cc-out_vs_cc_in
732,Lrrc38,0.8551909,1.004533,0.3924455013462719,0.5205339086979452,0.40622064492617177,cc-out_vs_cc_in
733,Dkk2,0.8550277,0.8999943,0.39253582294487666,0.5205339086979452,0.40612070325665683,cc-out_vs_cc_in
734,Arhgap15,0.8548649,0.69388354,0.39262593653364364,0.5205339086979452,0.4060210146662603,cc-out_vs_cc_in
735,Wif1,0.84818166,0.69712716,0.39633681872699167,0.5248274202689961,0.4019355808900944,cc-out_vs_cc_in
736,Vdr,0.84178287,0.99096745,0.3999095025683387,0.5289279254207432,0.39803827612663945,cc-out_vs_cc_in
737,Adcy7,0.83590287,0.028266836,0.40320954088231953,0.5309564849268669,0.3944692000161016,cc-out_vs_cc_in
738,Gbx2,0.8355124,1.3774406,0.4034292697978409,0.5309564849268669,0.39423259583434805,cc-out_vs_cc_in
739,Pmfbp1,0.83545923,1.1413634,0.40345920780634803,0.5309564849268669,0.3942003685507502,cc-out_vs_cc_in
740,Myo3b,0.83413416,0.54828125,0.4042053962667782,0.5309564849268669,0.3933978928166552,cc-out_vs_cc_in
741,Cdk15,0.83394724,0.7716782,0.4043106986931857,0.5309564849268669,0.39328476640330745,cc-out_vs_cc_in
742,Egr2,0.8272694,0.6943849,0.4080843959884153,0.5352795324003888,0.3892500111215757,cc-out_vs_cc_in
743,Casz1,0.82152426,0.66483873,0.4113477067360949,0.5387276675320134,0.38579091954323896,cc-out_vs_cc_in
744,Lamb3,0.82093555,0.59204525,0.4116829790591173,0.5387276675320134,0.38543708843975566,cc-out_vs_cc_in
745,Kirrel,0.8186835,0.094020054,0.41296701887550635,0.5397721858478677,0.3840846313758626,cc-out_vs_cc_in
746,Barhl1,0.81575227,0.7470413,0.41464184151546635,0.5413244252922246,0.38232687536708443,cc-out_vs_cc_in
747,Glra3,0.81249887,0.46965328,0.4165054264135507,0.5424824487051053,0.3803793360432447,cc-out_vs_cc_in
748,A830009L08Rik,0.8089453,0.6467955,0.4185466268639426,0.5433081392991972,0.3782561537716891,cc-out_vs_cc_in
749,A630012P03Rik,0.8088871,1.2794601,0.418580091176325,0.5433081392991972,0.3782214317495558,cc-out_vs_cc_in
750,Brs3,0.8088413,1.2533345,0.41860645116121764,0.5433081392991972,0.3781940830156553,cc-out_vs_cc_in
751,Npsr1,0.80779034,0.7646885,0.4192112798013694,0.5434582635464661,0.37756704021902154,cc-out_vs_cc_in
752,Calcr,0.80276346,0.595831,0.42211146813489275,0.545170371955127,0.37457284855621964,cc-out_vs_cc_in
753,Lmx1a,0.80274534,0.72565144,0.4221219489941318,0.545170371955127,0.3745620653314834,cc-out_vs_cc_in
754,H2-Q2,0.80265963,0.8506708,0.4221714759966655,0.545170371955127,0.3745111131309958,cc-out_vs_cc_in
755,Hpse,0.8017392,1.1494873,0.42270381816761493,0.545170371955127,0.37396382929036354,cc-out_vs_cc_in
756,Akain1,0.80125254,0.5913846,0.4229854731100985,0.545170371955127,0.37367454765204644,cc-out_vs_cc_in
757,Scml4,0.8000878,0.42109808,0.4236599079207648,0.5454069034762106,0.37298263251214514,cc-out_vs_cc_in
758,Agtr1a,0.7945433,0.9066731,0.4268791839403727,0.5488701584877825,0.3696950223341305,cc-out_vs_cc_in
759,Stk32b,0.7880171,0.50130004,0.43068672208166037,0.5514899292156726,0.36583851717530363,cc-out_vs_cc_in
760,Stc1,0.7877089,0.77038294,0.430867019405224,0.5514899292156726,0.36565674758833966,cc-out_vs_cc_in
761,Tshr,0.78610426,0.1871404,0.4318063914210194,0.55205627257624,0.3647109337054996,cc-out_vs_cc_in
762,Apold1,0.7817093,0.2942498,0.43438541074465986,0.5545175683333038,0.3621247693756759,cc-out_vs_cc_in
763,Glp2r,0.78112364,0.6868827,0.4347297947959564,0.5545175683333038,0.3617805938279283,cc-out_vs_cc_in
764,Tmem114,0.7680991,1.1512164,0.44242828447567584,0.5636901651977934,0.3541571163348019,cc-out_vs_cc_in
765,Dbh,0.76185894,0.78877485,0.446144188683945,0.567773417672237,0.350524759607117,cc-out_vs_cc_in
766,Dnah11,0.7607349,0.15820308,0.446815414636358,0.5679770316487343,0.3498718526199173,cc-out_vs_cc_in
767,Col14a1,0.75262696,0.52799815,0.4516741036227785,0.5734970618570364,0.34517480865519073,cc-out_vs_cc_in
768,Spag16,0.74701995,0.27146074,0.45505153162615064,0.5771258580327093,0.3419394195326815,cc-out_vs_cc_in
769,Nts,0.74185973,0.35290366,0.45817231549534077,0.5800585615490599,0.3389711560694604,cc-out_vs_cc_in
770,D430036J16Rik,0.74147063,0.74942297,0.45840811614768184,0.5800585615490599,0.33874770175849156,cc-out_vs_cc_in
771,Wnt5a,0.739792,0.18538873,0.4594262314771447,0.5806854871116129,0.3377842118825146,cc-out_vs_cc_in
772,Foxa1,0.72901577,1.3237098,0.4659920096490824,0.5875460746596849,0.3316215300805218,cc-out_vs_cc_in
773,Bves,0.72830194,0.73328006,0.46642876897423613,0.5875460746596849,0.33121467046723224,cc-out_vs_cc_in
774,Irx6,0.72828245,0.61670697,0.46644071813667154,0.5875460746596849,0.3312035446765808,cc-out_vs_cc_in
775,Chst9,0.7220574,0.93567735,0.47025920170798574,0.5906397163244422,0.32766269771930795,cc-out_vs_cc_in
776,Dio3,0.7218992,0.9680262,0.4703564585760516,0.5906397163244422,0.32757288819760394,cc-out_vs_cc_in
777,Fgf3,0.72167945,1.2511806,0.47049158321073925,0.5906397163244422,0.32744814141382766,cc-out_vs_cc_in
778,Mirt1,0.7150892,0.7241056,0.47455391932759594,0.5950670478250103,0.32371443542621925,cc-out_vs_cc_in
779,Prrxl1,0.70770484,0.59787726,0.4791285574524352,0.5994956197228546,0.3195479431589813,cc-out_vs_cc_in
780,Asb4,0.7076465,0.5994424,0.47916481576408176,0.5994956197228546,0.31951507893364306,cc-out_vs_cc_in
781,Lrat,0.7036404,0.4290926,0.481656725870656,0.6019354583152967,0.31726237083277886,cc-out_vs_cc_in
782,5830418P13Rik,0.69508445,0.3907812,0.48700239387634003,0.6074540036036157,0.31246890399125965,cc-out_vs_cc_in
783,Gpr50,0.69482327,0.20180444,0.4871660820979492,0.6074540036036157,0.3123229561520107,cc-out_vs_cc_in
784,Lhx8,0.6890945,0.5292916,0.490763822163811,0.6108417465944592,0.30912745982793416,cc-out_vs_cc_in
785,A730046J19Rik,0.6887468,1.059085,0.4909826099989668,0.6108417465944592,0.3089338897817881,cc-out_vs_cc_in
786,D130009I18Rik,0.67579365,0.4867045,0.4991716539629055,0.6197201825792269,0.30175008453761376,cc-out_vs_cc_in
787,Six6,0.67569464,0.84682286,0.4992345305206193,0.6197201825792269,0.30169538347001895,cc-out_vs_cc_in
788,Ror1,0.6596888,0.34389037,0.5094535850720827,0.6309954660145862,0.2928953772420557,cc-out_vs_cc_in
789,Lama1,0.6583364,0.3298239,0.5103219927316474,0.6313671869987307,0.29215571499878445,cc-out_vs_cc_in
790,Galr1,0.64773333,0.4970102,0.5171574376472415,0.6377758993902222,0.2863772250050336,cc-out_vs_cc_in
791,Gck,0.64763016,0.76381284,0.5172241992354547,0.6377758993902222,0.2863211640921742,cc-out_vs_cc_in
792,Nhlh2,0.64167964,1.1914676,0.5210812209768421,0.6418195526665981,0.28309457790422304,cc-out_vs_cc_in
793,Pde5a,0.63461643,0.11396177,0.5256786105335547,0.6467651564814831,0.27927969373720224,cc-out_vs_cc_in
794,Slc6a3,0.620953,0.5810231,0.534630521486773,0.6570514484201381,0.27194625146254936,cc-out_vs_cc_in
795,A330076C08Rik,0.6143084,0.8838908,0.5390115398795942,0.660584323424007,0.26840193675689666,cc-out_vs_cc_in
796,Tnfrsf11b,0.6141162,0.3967145,0.53913856669306,0.660584323424007,0.26829960027506367,cc-out_vs_cc_in
797,Gas2l3,0.6138886,0.4790889,0.5392889121022271,0.660584323424007,0.26817850880941096,cc-out_vs_cc_in
798,Esrrb,0.6084346,0.51457167,0.5428992636029446,0.6633809039843774,0.26528074742775093,cc-out_vs_cc_in
799,Cd247,0.60836965,0.8266674,0.5429423289760563,0.6633809039843774,0.2652462984730578,cc-out_vs_cc_in
800,Grem1,0.6077349,0.7456366,0.5433632966928744,0.6633809039843774,0.2649097008134209,cc-out_vs_cc_in
801,Vgll2,0.6014977,0.6703673,0.5475085284564696,0.6672654698303014,0.2616091114965445,cc-out_vs_cc_in
802,Tfap2b,0.6011407,1.0101055,0.5477462722639378,0.6672654698303014,0.26142056938699365,cc-out_vs_cc_in
803,Hoxb4,0.59416556,0.5925937,0.5524013789143997,0.6721992683175225,0.25774524599824455,cc-out_vs_cc_in
804,Zan,0.592874,0.3457359,0.5532654924802647,0.6725141817785274,0.25706641616349424,cc-out_vs_cc_in
805,Irx3,0.59031016,0.30423594,0.5549827508102478,0.6738643018034812,0.2557205147950559,cc-out_vs_cc_in
806,Trim54,0.5883188,1.3031158,0.5563182932608495,0.6745954580429276,0.2546766590388225,cc-out_vs_cc_in
807,Abi3bp,0.58760226,0.2204622,0.5567993114539735,0.6745954580429276,0.25430131045195675,cc-out_vs_cc_in
808,9330158H04Rik,0.58159596,0.8874809,0.5608388805016689,0.6784860820041367,0.25116188626462704,cc-out_vs_cc_in
809,Itga9,0.5810126,-0.054203384,0.5612319616217837,0.6784860820041367,0.25085760428530646,cc-out_vs_cc_in
810,St14,0.5785442,0.31878752,0.5628967807749897,0.6797590472184931,0.2495712350769728,cc-out_vs_cc_in
811,6430628N08Rik,0.5744295,0.8210928,0.5656771675082143,0.6823749545077373,0.24743135038334677,cc-out_vs_cc_in
812,4930426D05Rik,0.5690516,0.6260066,0.5693211188629337,0.6852825168545171,0.2446427058151504,cc-out_vs_cc_in
813,Catsperd,0.5671374,0.3795582,0.5706208127348055,0.6861035962644685,0.24365239200064515,cc-out_vs_cc_in
814,Megf11,0.56233805,-0.05989683,0.5738857164342384,0.6879378243107446,0.24117458436785066,cc-out_vs_cc_in
815,Trhr,0.5615858,0.4797499,0.5743982767427416,0.6879378243107446,0.2407868716944484,cc-out_vs_cc_in
816,Pax5,0.5612559,0.55751497,0.5746231331776516,0.6879378243107446,0.24061689416521295,cc-out_vs_cc_in
817,Npffr2,0.554622,1.0039352,0.579153244964598,0.6912550314904246,0.23720650598474202,cc-out_vs_cc_in
818,Samd3,0.5544652,0.62879187,0.5792605169375205,0.6912550314904246,0.23712607250308204,cc-out_vs_cc_in
819,Hoxb8,0.54837126,0.70173305,0.5834370192773759,0.6935716492513211,0.2340060182073894,cc-out_vs_cc_in
820,Snx31,0.54813796,1.4282624,0.5835971867987038,0.6935716492513211,0.233886810268552,cc-out_vs_cc_in
