,AD,AMd,AMv,AV,CL,CM,IAD,IAM,IGL,IMD,LD,LGv,LH,LP,MD,MGd,MGm,MGv,MH,PCN,PF,PIL,PO,POL,PP,PR,PT,PVT,PoT,RE,RH,RT,SGN,SMT,SPA,SPFm,SPFp,VAL,VM,VPL,VPLpc,VPM,VPMpc,Xi
SSp-m,4.3926177328089503e-07,1.631153662332199e-06,3.101236091699202e-06,4.33932064447077e-07,5.112319598196983e-05,8.066786900494719e-05,2.0791250092144765e-06,2.975613512125467e-06,7.052308377897643e-07,7.26126157999656e-05,9.73103918585698e-07,6.63553602084384e-07,1.1764274816460552e-06,1.94809545283791e-06,5.480165117594045e-05,3.838623216820218e-06,3.9053149540263514e-05,9.065822558701205e-06,1.599797605706185e-07,0.0003443599864375087,0.00025594345766812254,0.00010613860651661604,0.0006298012690493536,9.100411443446699e-05,1.0425293529475754e-05,5.5984200321368325e-06,1.922259334420463e-06,8.184108228951068e-06,0.00030353620116929376,3.684617534866603e-06,4.479372316169749e-05,0.00017265170960332167,2.9019987335510698e-06,2.833743302547189e-05,1.8164886220229845e-05,8.25892837965186e-06,0.00029451262616253716,0.00023082390215654184,9.557705218051402e-05,0.0003141234313272138,0.0006703618600816626,0.0007587642930565019,0.0005605217014877291,4.390423856003405e-06
SSp-n,5.229339547291384e-07,2.137095458869311e-06,4.536750505438264e-06,3.376217387465018e-06,7.854618038011905e-05,2.5536175717102684e-05,4.367957845725038e-06,3.4828702961198094e-06,1.8739987251223597e-05,1.2159973624168985e-05,1.2959387916920919e-05,1.3120280929633014e-05,1.3470647705084028e-06,2.8638031722312768e-05,1.53031727456294e-05,3.5368937632397665e-05,0.00018783731848810622,8.614836501131436e-05,1.1265564679600883e-07,0.00010221853510606051,0.0002134849662353916,0.0002558016587645198,0.0006699410172337735,0.00023320089293195998,0.00011823787413319572,7.326273647759177e-06,6.456652799913039e-07,3.0493700634449916e-06,0.0005237513503715491,9.210393585183482e-06,5.9581272579935624e-05,0.00022016520141360027,5.5529904256763465e-05,5.641672502212393e-05,1.2047030848683645e-05,1.541704922827241e-05,0.0005132514565215408,0.00012756736012705435,6.92736054444869e-05,0.0004364426820672704,0.000431413400637352,0.0007626612179924433,0.00026615813356918995,9.156445129987696e-06
SSp-tr,0.00010326250116134628,0.00013189746387211752,0.0001719313672368222,0.0001808195500825826,0.00030684041887959167,1.7111431339189294e-05,0.00012707499082801897,7.940485719545467e-05,0.00033778350427540944,3.7722978497271422e-06,0.0007198966230168994,0.00030785021267145307,1.938475712259995e-05,0.0006254187943926024,3.515195881277507e-05,5.683730506159599e-05,0.0002519907489989669,0.00010761659222705741,9.68919613275235e-07,3.68409172635697e-05,0.0002607628311323825,0.00018812090881171749,0.0003246776553937588,0.000552798874807848,0.00014190756728417437,6.365067019097839e-05,6.234200248977483e-06,2.5681029440436837e-06,0.00041663682995724726,4.67766535734827e-05,9.366567405036692e-05,0.00037798630827851006,0.00015832843643451104,0.00012260602544536826,2.878771784953055e-05,0.00010251424363658622,0.0006093933947618527,0.0002916576007109006,0.00017221752928436737,0.0006070978061812582,0.00017057342583412462,0.00015061461679745396,5.6937454754726437e-05,3.353535089306706e-05
SSp-ul,6.2209607900993905e-06,1.7379578067332382e-05,2.464750268658218e-05,2.233507387909491e-05,0.0001872320567976849,2.2531901534773743e-05,2.2055702343733836e-05,1.297110892244105e-05,2.9969662931417566e-05,3.909508893720259e-06,8.891390334971668e-05,2.441428192983996e-05,4.015903860985659e-06,7.842222918981432e-05,2.8611317202219424e-05,1.0522118078763193e-05,0.0001206875517936127,2.960113843663651e-05,2.461638962103148e-07,0.0001283468969559545,0.00029125837833109266,0.00012912964667299864,0.0005260375175781621,0.0002578238432331542,3.798972123739006e-05,1.1422946313637328e-05,6.660632182894757e-07,7.897276768520552e-07,0.0003244442732272785,1.1791667421278756e-05,4.473022655067583e-05,0.00021707373921479533,3.728323563987199e-05,4.8656512113486826e-05,6.892680566914534e-06,2.359146497294462e-05,0.0005128914391399758,0.00025916662914964755,0.0001276317393730875,0.0006130454447124897,0.00019628172840426402,0.00033865491344577147,0.00010363158088251189,9.788945415336792e-06
SSp-un,6.439011508925774e-06,1.4286339975802507e-05,2.1651480650325987e-05,2.3122534685712104e-05,0.00015753232340300294,1.4715793568172083e-05,2.201605158306292e-05,1.1856590585406322e-05,5.3468507834044284e-05,3.1219658629466537e-06,0.00011613240529853881,4.154931578191348e-05,3.7472466695118613e-06,0.00011036737512119602,1.95604078159e-05,1.9348000713575654e-05,0.00016039661471158796,5.025525842427343e-05,3.366629205900445e-07,7.370108268241187e-05,0.00025047579479264603,0.00017215908080937543,0.0005660692740222384,0.000303721598831314,7.113759867616437e-05,1.0367823294748948e-05,5.701912493703066e-07,1.0760555189890039e-06,0.00042693732759424704,1.2863753496220535e-05,4.968658884833859e-05,0.000248498668881746,5.787876786175826e-05,5.915511954519446e-05,6.680183717504159e-06,2.253608601190226e-05,0.000575354514120919,0.00020499583659739314,0.00011032544937294178,0.0006233389150358127,0.00023097520309355894,0.00045741373868863516,0.00012429475564223102,9.643657354867109e-06
SSs,4.046214482016007e-06,5.918236182919803e-06,9.74792298952248e-06,3.104615096957097e-06,7.12955002075829e-05,7.976991130716608e-05,8.393410901490715e-06,1.05259546344177e-05,7.397068153708722e-05,0.00011330269740420111,1.8639668948842373e-05,5.254255172018638e-05,5.3229207439025965e-06,8.170835398146984e-05,5.504535997002569e-05,0.0002905062878939295,0.0003816336175394425,0.00039803345730578016,8.513065895945763e-07,0.00017576175471320691,0.0002345649403061596,0.00037062615012934996,0.0003752048966381033,0.00022911099709448094,0.0003587265967317622,3.53173978754113e-05,1.2244857372767414e-05,3.778969965513401e-05,0.00040888204980141034,2.671482438390966e-05,8.936420575595766e-05,0.00012848640340524996,0.00022961862501083896,7.763675464644733e-05,5.5258030675473085e-05,4.3383900967854353e-05,0.0003535633900560904,0.00012146176274586951,8.72410184718595e-05,0.0002730024735965758,0.0008758487938425379,0.0004734942894183881,0.0005531644786186998,3.432764974328567e-05
TEa,3.3683009067627084e-05,1.475714927346441e-05,1.908667976633238e-05,1.2419240058360364e-05,4.017685312620583e-05,1.9560012771415377e-05,1.3150908318905045e-05,1.4975907368441134e-05,0.00044598493632933245,2.6974121009809377e-05,0.00015212712996303364,0.0004312893849367115,1.1779457134767323e-05,0.0006008228538489773,1.458394638939763e-05,0.001456061973885713,0.0004497685186878309,0.0011878644655923412,1.875704931246779e-06,2.047135783966375e-05,4.249528540968081e-05,0.00047057112637002776,7.398652196064184e-05,0.0002167641004373484,0.0006417412370390638,4.49566619445269e-05,1.5685465489392e-05,2.324804204463791e-05,0.00018744472018256817,2.7783163725941873e-05,2.9925210789335164e-05,0.00010553955279082789,0.0008737589891374513,3.27621716403475e-05,5.003787985317048e-05,6.960844018941159e-05,0.0001228754269065201,1.9402505257672264e-05,2.2957859879086565e-05,7.140204612686428e-05,8.444525961460173e-05,5.280330385279922e-05,0.00010726669703840813,2.9620256694198725e-05
VISC,8.095253310518907e-06,9.880476738961593e-06,1.5198132291676378e-05,7.91018690502487e-07,5.734583952566682e-05,0.00013804605349787625,1.3196268864477904e-05,1.7588572913461523e-05,7.522391588938856e-06,0.00025093086983658466,2.3914157972680577e-06,5.116213971730288e-06,1.0772774748784586e-05,2.9483318788889687e-05,0.00010127242605874422,6.662610270057623e-05,0.00018048141346256044,0.00010086967030714201,1.6885562862799891e-06,0.00017919979674103944,0.0002203769245770983,0.00023329034097542914,0.0002965430542318923,8.958890113169887e-05,0.00016189435476196006,7.554981520945321e-05,2.7227095884844663e-05,9.78646865360746e-05,0.0003297668587750366,4.900718644124515e-05,0.00012871454208215265,6.642474767492834e-05,6.824980265987978e-05,0.00010553751798051127,0.0001487290337216321,6.924597286323267e-05,0.0002826046151337945,6.152286522912e-05,0.00010407022732586298,0.00012884830243321528,0.0008644903292087761,0.00020954923463627597,0.0007894838771008565,7.090013765466242e-05
VISa,0.00016954527782032353,0.00022442672529250407,0.00025232731406203213,0.0002642939398392511,0.00026672885501433753,1.686015117029331e-05,0.000157245801255118,9.965108310941285e-05,0.0008689424878179249,2.5154094121700664e-06,0.0013058253392292177,0.000835942698224432,2.264739508569055e-05,0.0011472187107310745,2.5822025795755432e-05,0.00023638253083290076,0.0002503440833937216,0.000254964285114359,1.546819806196918e-06,1.5016698712987186e-05,0.00014846337741563384,0.00019373877837860495,0.00018211226196769575,0.000497343448209955,0.0002847866866248967,8.54780999333862e-05,1.497852658355266e-05,3.5043385913825476e-06,0.00029206634638357574,5.3763423038493565e-05,0.00010026846331600146,0.00037233465240328297,0.00030445361598712664,0.00010485505016978898,3.0294202534077588e-05,0.00011076840495465662,0.00031395991769999726,0.00021885207728713536,0.00010624400917193413,0.00032924266195761236,0.00011268498094999034,8.430532921862518e-05,4.020429901440507e-05,3.130947489096649e-05
VISal,2.3696345777757726e-05,1.1186734667355059e-05,1.4049982659352113e-05,2.63820595448577e-05,4.8581924499593695e-05,1.5456418582472852e-06,6.828660961963672e-06,6.632827911476007e-06,0.0008568047804195853,4.350421842905232e-07,0.0004566688454786609,0.0008694232540467929,3.949800759315954e-06,0.0008127700558840126,2.075441144333695e-06,0.0005957695358753638,0.00030100703834607924,0.0005595334600733953,1.0071008772873879e-06,2.8781761470064216e-06,5.8555584307654545e-05,0.00030497229356371753,6.99556970066515e-05,0.00035278762509024283,0.000519809064380172,2.290209432055041e-05,2.5788927116322414e-06,1.2100897861788223e-06,0.00020770522376205346,9.486938607836945e-06,1.6851084658015202e-05,0.00014664249363595554,0.0005648817140063684,3.0337008509209716e-05,5.998487624560252e-06,3.910391832096747e-05,0.0001504821808143366,5.177338923649327e-05,1.836393997266946e-05,9.927339123928173e-05,2.9057440839174016e-05,6.541547481824184e-05,1.8832111196041184e-05,5.004218293786374e-06
VISam,0.00032173530938157924,0.0004210343129859922,0.00044538322711959043,0.0004985081198623225,0.00037257136419681386,2.5947202986166505e-05,0.0002582281184165154,0.00016079325407527946,0.0010360681989713154,3.5085229867673493e-06,0.0021172684507260978,0.0009871622145013134,3.732585923316036e-05,0.0015149248149129001,3.501512304668168e-05,0.00010742104341751485,0.00021606967132293119,0.00014192119671762915,2.5068276316562174e-06,1.3926501074720072e-05,0.00015939145874526727,0.00014037569815088377,0.00018164058684025621,0.0005462707317096522,0.00020901342284356385,0.00013922480522803022,2.7813458119194635e-05,5.8153740029911266e-06,0.00028442530422237883,8.286503246960978e-05,0.00014838037532731045,0.0005052779769928868,0.00021047830846008826,0.00012930587801880542,4.8601725859195454e-05,0.00016456046798859046,0.00030031683801691635,0.00027733507033454,0.00013325491661517866,0.00036309890470828025,0.00014616557285243679,5.828997118100997e-05,4.662404807522163e-05,4.734392391214315e-05
VISl,4.295821643154891e-05,1.5028421478641292e-05,1.6004371361632724e-05,2.3911398901879493e-05,3.168154974732529e-05,1.2368145990005775e-06,1.0738260906246982e-05,8.867795238880967e-06,0.0008799476177640826,1.9666415924772814e-07,0.00045097343446151095,0.0010231821748257904,4.0875687903589515e-06,0.0008759366158199095,9.125018353645484e-07,0.0003715168705658309,0.00015634915772100834,0.00030475795022094133,1.536385812641869e-06,6.444760555575738e-07,1.4659020337166804e-05,0.0001502270742338051,2.5457328384479376e-05,0.00016142741112464289,0.0003102233650901746,1.3971240163465802e-05,7.649382820479227e-06,2.2290567618320342e-06,8.315386539715195e-05,8.174287680841578e-06,1.0756744634706585e-05,0.00011942759953360959,0.0003721666026783982,1.4415828453193252e-05,2.9238629757957588e-06,2.0074813378579026e-05,4.003078971172311e-05,2.376907659902468e-05,5.678557597482811e-06,4.804452777792994e-05,7.872736469779338e-06,2.321276486414879e-05,6.42336705743902e-06,3.549756094527244e-06
VISli,5.189146951771628e-05,1.854714415506096e-05,2.0158533054275043e-05,2.7658131301883942e-05,3.748191466550803e-05,1.604648612364083e-06,1.3724491859162684e-05,1.2138483976313812e-05,0.0009301577976362592,2.633820390170141e-07,0.0004352126883890379,0.0010431005031612854,5.5694592271512955e-06,0.0010103619315787744,1.1949863026786482e-06,0.0005884748643749915,0.0002241432414639855,0.0004719067048915297,1.8948674399380759e-06,7.306619838742383e-07,1.82770724330976e-05,0.00022058570840686028,2.778704444749225e-05,0.00020239320618899582,0.00042962060859782526,1.76586452803233e-05,1.0366951733629881e-05,2.904354062947564e-06,0.0001090200127758474,1.020787398363884e-05,1.1486086400508013e-05,0.00013117051858198248,0.0005458285521890059,1.5563526591021466e-05,4.163564688532513e-06,2.8140806903020327e-05,5.483582043343687e-05,2.641484481652467e-05,7.094294330139127e-06,5.6095594980743714e-05,1.0017465234275516e-05,2.6896351479421073e-05,8.770814072861756e-06,4.567457849844171e-06
VISp,7.696756054532874e-05,7.710189599148286e-05,7.672692847228904e-05,9.161289858126237e-05,5.555781257882671e-05,4.1503096964204345e-06,3.977764584762541e-05,2.5398497541619496e-05,0.0008452453134228573,5.282715622742524e-07,0.0006663604892678589,0.0009509904584182055,7.4286558975423e-06,0.0007472354101731775,3.742693120387289e-06,0.00014835663201095566,7.875042295698457e-05,0.00012289730897668193,1.4104299233888704e-06,1.5364635735514586e-06,1.7232994325890335e-05,6.166135401141655e-05,2.9310242966965387e-05,0.00012669511010861287,0.00014245472887545178,2.640149447620212e-05,9.467974968517552e-06,2.2744565971182394e-06,5.730652157617219e-05,1.535012677836666e-05,2.5070194797158868e-05,0.0001431161242709048,0.0001624372325984964,2.082781004221262e-05,6.6040360383815895e-06,2.6716561260566607e-05,3.108447669809435e-05,3.945723642160205e-05,1.4604235300869509e-05,5.7957756391787584e-05,1.9285871034405077e-05,1.6375556016414115e-05,7.163959144102624e-06,7.711804042395206e-06
VISpl,3.874515544512467e-05,1.6831958204203315e-05,1.6260441413806308e-05,2.1258251740429587e-05,1.7953535215699053e-05,1.2664245574816849e-06,9.783908276257273e-06,7.891839993750026e-06,0.0007478799376833249,1.3435207858667755e-07,0.00033739724475534373,0.0009423530243431292,3.1754735764378485e-06,0.000706558965045994,5.212483946115889e-07,0.00014230605748799188,6.039700936409443e-05,0.00011209243451101523,1.537720675562335e-06,2.2928211269336668e-07,2.593884886118942e-06,6.52953004504248e-05,9.100669293563894e-06,5.954121436789895e-05,0.0001574262249946598,8.851334897012857e-06,1.1062869935528233e-05,2.9829665791530335e-06,2.8011802002492588e-05,8.586715202527483e-06,7.163141154189422e-06,8.363944151200715e-05,0.00017476542224989107,6.5307774092230855e-06,1.184190820097537e-06,1.0071170590882131e-05,8.224509091481512e-06,9.022712188515047e-06,1.6697828298476114e-06,2.087232167216339e-05,2.3759613785336973e-06,1.0151617174424448e-05,2.5302836954288456e-06,3.0776899094472985e-06
VISpm,0.00029209081978114325,0.00036099552542207886,0.000353683158512864,0.00042919498817528323,0.00021616370450744805,1.7461746600622276e-05,0.00017649916750261808,0.00010121495780203286,0.0010598582311860452,2.2002351497413927e-06,0.0017966846200010648,0.0010492057816308723,2.8808313498733293e-05,0.0011947190408276803,1.7563889598254278e-05,7.923203545993396e-05,0.00011393066818526984,9.289721410861886e-05,3.188951958144962e-06,5.814316915182718e-06,6.981152151628262e-05,7.430006605937564e-05,8.219968740638506e-05,0.0002861883487424439,0.000143394678968838,0.00010899504723504837,2.657770142894381e-05,5.531362050275454e-06,0.0001316762389276087,5.695017849451718e-05,9.481100888702936e-05,0.000359730708769416,0.00012339718201869154,6.52174435084845e-05,2.992267350662654e-05,0.00010817770847978518,0.00011377647231167439,0.00015209023620680736,6.54495762224709e-05,0.00018300611101873426,8.33359739666595e-05,2.8507463627776155e-05,2.6206419739015124e-05,3.037199280352512e-05
VISpor,7.02618208152313e-05,3.3707098952304556e-05,3.496936105750428e-05,3.2752305616059926e-05,3.810383384296793e-05,2.776284309596452e-06,2.286414507967296e-05,2.4365600968850708e-05,0.0009557926992477981,4.778531595299571e-07,0.00038106471991262525,0.0010520032714684887,7.957853791183056e-06,0.0012209617550653052,1.4899767711492354e-06,0.0006546436813472127,0.0002255879373220371,0.00048594797922805517,2.361165843217809e-06,3.976917930135468e-07,8.039293911283492e-06,0.0002261565601645564,1.7143134178373797e-05,0.00013984592374444168,0.00045956142610344933,1.6555317056369182e-05,2.015821905953215e-05,5.376556106771577e-06,8.83965799066855e-05,1.477838822700381e-05,1.0378494658350811e-05,0.0001234872881760089,0.0006187994236000317,9.59129884337817e-06,5.183470610787901e-06,2.540314949604224e-05,3.1783756643465755e-05,1.4111055817744558e-05,4.296175956003831e-06,4.221700239834073e-05,7.822995194172988e-06,1.910489329243881e-05,7.503611824016355e-06,6.779843792525076e-06
VISrl,2.9516062315041605e-05,3.270744975284535e-05,3.920881151493354e-05,4.204660459328518e-05,7.053604659048896e-05,4.0472434892832636e-06,2.615694895836515e-05,1.847467055030276e-05,0.000833045979469942,6.684650978809408e-07,0.0005688849711770227,0.0008329138728073908,3.7833820542093704e-06,0.0007001120298962907,5.346531877353078e-06,0.00018552893565925455,0.00017419149662922743,0.00019845126658048402,6.43247006219523e-07,7.208487684705976e-06,6.720717243518434e-05,0.00013705157215538225,0.00010097007356521408,0.00026618055312819985,0.0002347074933121812,1.8011827519948416e-05,2.7901945415857046e-06,8.233744812003039e-07,0.0001790629003016589,1.2314457481020752e-05,3.002259369254032e-05,0.00015964585467094142,0.00023060216942170957,4.4188177149796254e-05,4.657965478469894e-06,2.5558363881682823e-05,0.0001516781591592332,7.628709123421472e-05,3.12888867907952e-05,0.0001329028727479478,4.2494223833416364e-05,7.831720350543142e-05,1.9331291978662038e-05,6.532870331726441e-06
